,hour,date,month,value
0,7.0,3.0,1.0,84.82600000000001
1,10.0,3.0,1.0,88.056
2,13.0,3.0,1.0,84.272
3,15.0,3.0,1.0,66.416
4,16.0,3.0,1.0,69.384
5,17.0,3.0,1.0,64.61
6,16.0,8.0,1.0,69.628
7,6.0,9.0,1.0,85.162
8,7.0,9.0,1.0,92.246
9,16.0,9.0,1.0,72.81
10,17.0,9.0,1.0,66.336
11,7.0,10.0,1.0,97.446
12,10.0,10.0,1.0,88.846
13,16.0,10.0,1.0,71.504
14,17.0,10.0,1.0,66.16000000000001
15,16.0,22.0,1.0,62.232000000000006
16,17.0,22.0,1.0,63.25800000000001
17,13.0,23.0,1.0,89.97200000000001
18,14.0,23.0,1.0,96.696
19,10.0,24.0,1.0,86.0
20,13.0,29.0,1.0,77.82600000000001
21,14.0,29.0,1.0,77.556
22,6.0,30.0,1.0,92.294
23,7.0,30.0,1.0,91.61
24,10.0,30.0,1.0,77.67200000000001
25,11.0,30.0,1.0,73.06
26,16.0,30.0,1.0,60.516
27,17.0,21.0,2.0,60.382000000000005
28,8.0,24.0,5.0,65.962
29,9.0,24.0,5.0,69.622
30,11.0,24.0,5.0,89.96600000000001
31,16.0,12.0,11.0,59.52000000000001
32,17.0,12.0,11.0,60.316
33,10.0,3.0,12.0,57.79400000000001
34,11.0,3.0,12.0,98.826
0,16.0,1.0,1.0,61.716
1,10.0,2.0,1.0,93.318
2,11.0,2.0,1.0,96.38
3,14.0,2.0,1.0,63.94800000000001
4,16.0,2.0,1.0,75.424
5,17.0,2.0,1.0,67.70800000000001
6,18.0,2.0,1.0,61.614
7,15.0,3.0,1.0,66.416
8,16.0,3.0,1.0,69.384
9,17.0,3.0,1.0,64.61
10,18.0,3.0,1.0,64.292
11,21.0,3.0,1.0,82.08
12,8.0,6.0,1.0,114.186
13,9.0,6.0,1.0,105.06
14,10.0,8.0,1.0,87.378
15,11.0,8.0,1.0,91.064
16,12.0,8.0,1.0,93.29
17,13.0,8.0,1.0,85.278
18,14.0,8.0,1.0,83.006
19,15.0,8.0,1.0,76.64
20,16.0,8.0,1.0,69.628
21,17.0,8.0,1.0,64.48
22,18.0,8.0,1.0,66.962
23,11.0,10.0,1.0,95.054
24,16.0,15.0,1.0,63.012
25,16.0,16.0,1.0,69.04400000000001
26,8.0,20.0,1.0,92.386
27,9.0,20.0,1.0,93.69
28,6.0,22.0,1.0,104.106
29,17.0,23.0,1.0,65.586
30,8.0,27.0,1.0,98.924
31,9.0,27.0,1.0,99.458
32,7.0,29.0,1.0,97.754
33,14.0,30.0,1.0,78.152
34,16.0,30.0,1.0,60.516
35,9.0,19.0,2.0,94.234
36,10.0,19.0,2.0,101.506
37,11.0,19.0,2.0,113.002
38,12.0,19.0,2.0,111.04200000000002
39,15.0,19.0,2.0,98.26
40,16.0,19.0,2.0,86.40800000000002
41,17.0,19.0,2.0,62.028
42,18.0,19.0,2.0,73.49600000000001
43,5.0,20.0,2.0,103.462
44,6.0,20.0,2.0,93.364
45,7.0,20.0,2.0,100.718
46,14.0,20.0,2.0,85.05000000000001
47,16.0,20.0,2.0,75.806
48,17.0,20.0,2.0,70.98
49,18.0,20.0,2.0,77.71000000000001
50,16.0,12.0,3.0,67.52000000000001
51,17.0,12.0,3.0,69.224
52,14.0,13.0,3.0,87.61000000000001
53,16.0,13.0,3.0,73.004
54,17.0,13.0,3.0,72.54400000000001
55,18.0,13.0,3.0,70.34400000000001
56,17.0,14.0,3.0,66.02000000000001
57,17.0,18.0,3.0,67.95800000000001
58,9.0,23.0,6.0,73.38600000000001
59,17.0,9.0,8.0,89.206
